date,sentiment_mean,sentiment_std,news_count
2026-05-03,-0.12768736481666565,0.0,1
2026-05-04,-0.19949711114168167,0.0,1
2026-05-05,-0.10972729325294495,0.0,1
2026-05-06,-0.11140761524438858,0.06496514175797993,2
2026-05-07,0.0017253011465072632,0.0,1
2026-05-14,-0.04796065390110016,0.0,1
2026-05-15,-0.025635358691215516,0.027329326534971145,5
2026-05-18,-0.03469768911600113,0.0663538804164139,2
2026-05-19,0.0025639086961746216,0.0,1
2026-05-20,-0.05231177806854248,0.03632647483416354,7
2026-05-22,-0.04510284960269928,0.0,1
2026-05-26,0.0048815906047821045,0.0,1
2026-05-27,0.03909694403409958,0.013282358037253571,2
2026-05-29,-0.08374703675508499,0.029317864123072145,2
